id_pair,tanimoto_cdk_Extended,TanimotoCombo,pchembl_distance,target_name,pair_type,frac_similar,similar
1,0.56701030927835,1.989,0.31,CYP2D6,"dis2D,sim3D",0.818181818181818,1
2,0.532051282051282,1.782,0.340000000000001,HERG,"dis2D,sim3D",0.5625,1
3,0.549206349206349,1.778,0.49,CYP2D6,"dis2D,sim3D",0.380952380952381,0
4,0.558951965065502,1.764,1.3,HERG,"dis2D,sim3D",0.75,1
5,0.452685421994885,1.757,0.5,CYP2D6,"dis2D,sim3D",0.652173913043478,1
6,0.626190476190476,1.757,1.44,5HT2B,"dis2D,sim3D",0.411764705882353,0
7,0.467336683417085,1.752,0.09,CYP2D6,"dis2D,sim3D",0.8,1
8,0.521815008726003,1.704,0.2,5HT2B,"dis2D,sim3D",0.655172413793103,1
9,0.387878787878788,1.674,0.399999999999999,HERG,"dis2D,sim3D",0.727272727272727,1
10,0.620253164556962,1.66,0.21,HERG,"dis2D,sim3D",0.857142857142857,1
11,0.274881516587678,1.629,0.949999999999999,5HT2B,"dis2D,sim3D",0.095238095238095,0
12,0.328227571115974,1.627,0.85,5HT2B,"dis2D,sim3D",0.5,0
13,0.323214285714286,1.582,0.66,5HT2B,"dis2D,sim3D",0.157894736842105,0
14,0.481989708404803,1.579,0.2,5HT2B,"dis2D,sim3D",0.454545454545455,0
15,0.590998043052838,1.562,0.1,5HT2B,"dis2D,sim3D",0.65,1
16,0.319634703196347,1.519,1.77,HERG,"dis2D,sim3D",0.411764705882353,0
17,0.42175572519084,1.502,0.25,5HT2B,"dis2D,sim3D",0.3,0
18,0.602536997885835,1.46,1.11,HERG,"dis2D,sim3D",0.448275862068966,0
19,0.369444444444444,1.459,0.180000000000001,CYP2D6,"dis2D,sim3D",0.266666666666667,0
20,0.608200455580866,1.454,0.699999999999999,5HT2B,"dis2D,sim3D",0.48,0
21,0.64468085106383,1.454,0.8,HERG,"dis2D,sim3D",0.785714285714286,1
22,0.200477326968974,1.45,3.04,5HT2B,"dis2D,sim3D",0.368421052631579,0
23,0.348557692307692,1.444,1.09,HERG,"dis2D,sim3D",0.55,1
24,0.538002980625931,1.437,0.0,HERG,"dis2D,sim3D",0.461538461538462,0
25,0.385542168674699,1.412,0.5,CYP2D6,"dis2D,sim3D",0.375,0
26,0.877777777777778,1.191,0.180000000000001,CYP2D6,"sim2D,dis3D",0.75,1
27,0.859154929577465,1.292,0.0,CYP2D6,"sim2D,dis3D",0.655172413793103,1
28,0.857938718662953,1.232,0.3,CYP2D6,"sim2D,dis3D",0.68421052631579,1
29,0.848238482384824,1.137,0.119999999999999,CYP2D6,"sim2D,dis3D",0.478260869565217,0
30,0.829787234042553,1.271,0.3,CYP2D6,"sim2D,dis3D",0.5,0
31,0.825613079019073,1.127,0.300000000000001,CYP2D6,"sim2D,dis3D",0.761904761904762,1
32,0.801587301587302,1.275,0.6,CYP2D6,"sim2D,dis3D",0.380952380952381,0
33,0.774358974358974,1.06,0.0,CYP2D6,"sim2D,dis3D",0.642857142857143,1
34,0.772959183673469,0.99,0.600000000000001,CYP2D6,"sim2D,dis3D",0.6,1
35,0.772151898734177,1.058,0.300000000000001,CYP2D6,"sim2D,dis3D",0.592592592592593,1
36,0.769028871391076,1.092,0.6,CYP2D6,"sim2D,dis3D",0.647058823529412,1
37,0.767195767195767,1.133,0.3,CYP2D6,"sim2D,dis3D",0.666666666666667,1
38,0.765202702702703,1.099,1.4,HERG,"sim2D,dis3D",0.588235294117647,1
39,0.762755102040816,1.052,0.42,CYP2D6,"sim2D,dis3D",0.705882352941176,1
40,0.743271221532091,1.292,0.2,5HT2B,"sim2D,dis3D",0.5625,1
41,0.74009900990099,1.119,0.119999999999999,CYP2D6,"sim2D,dis3D",0.590909090909091,1
42,0.738035264483627,1.09,0.0,CYP2D6,"sim2D,dis3D",0.545454545454545,1
43,0.737226277372263,1.007,0.24,CYP2D6,"sim2D,dis3D",0.368421052631579,0
44,0.716707021791768,1.112,0.54,CYP2D6,"sim2D,dis3D",0.571428571428571,1
45,0.716417910447761,1.142,0.3,CYP2D6,"sim2D,dis3D",0.476190476190476,0
46,0.712264150943396,1.033,0.54,CYP2D6,"sim2D,dis3D",0.521739130434783,1
47,0.707456978967495,1.232,1.4,5HT2B,"sim2D,dis3D",0.473684210526316,0
48,0.706161137440758,1.011,0.359999999999999,CYP2D6,"sim2D,dis3D",0.5,0
49,0.704918032786885,1.248,0.7,CYP2D6,"sim2D,dis3D",0.4,0
50,0.700970873786408,1.288,1.45,HERG,"sim2D,dis3D",0.285714285714286,0
51,1.0,1.98,0.1,5HT2B,"sim2D,sim3D",0.956521739130435,1
52,1.0,1.946,0.71,HERG,"sim2D,sim3D",0.8125,1
53,0.966005665722379,1.897,0.22,CYP2D6,"sim2D,sim3D",0.863636363636364,1
54,0.962962962962963,1.826,0.1,HERG,"sim2D,sim3D",0.92,1
55,0.959459459459459,1.985,0.640000000000001,CYP2D6,"sim2D,sim3D",0.904761904761905,1
56,0.958563535911602,1.984,0.3,CYP2D6,"sim2D,sim3D",1.0,1
57,0.95136186770428,1.897,0.13,HERG,"sim2D,sim3D",0.72,1
58,0.949720670391062,1.894,0.4,CYP2D6,"sim2D,sim3D",0.714285714285714,1
59,0.946524064171123,1.914,0.060000000000001,CYP2D6,"sim2D,sim3D",0.758620689655172,1
60,0.94269340974212,1.976,0.0,CYP2D6,"sim2D,sim3D",0.904761904761905,1
61,0.929133858267717,1.902,0.180000000000001,CYP2D6,"sim2D,sim3D",1.0,1
62,0.922872340425532,1.748,0.510000000000001,CYP2D6,"sim2D,sim3D",0.857142857142857,1
63,0.916299559471366,1.915,1.4,HERG,"sim2D,sim3D",0.6875,1
64,0.912234042553192,1.972,0.0,CYP2D6,"sim2D,sim3D",0.625,1
65,0.908839779005525,1.812,0.359999999999999,CYP2D6,"sim2D,sim3D",0.88,1
66,0.903645833333333,1.565,0.3,CYP2D6,"sim2D,sim3D",0.625,1
67,0.891975308641975,1.7,0.08,CYP2D6,"sim2D,sim3D",0.619047619047619,1
68,0.887671232876712,1.864,0.180000000000001,CYP2D6,"sim2D,sim3D",0.888888888888889,1
69,0.878378378378378,1.838,0.48,CYP2D6,"sim2D,sim3D",0.764705882352941,1
70,0.874651810584958,1.657,0.44,HERG,"sim2D,sim3D",0.75,1
71,0.872180451127819,1.733,0.399999999999999,CYP2D6,"sim2D,sim3D",0.789473684210526,1
72,0.87027027027027,1.716,0.0,CYP2D6,"sim2D,sim3D",0.833333333333333,1
73,0.86,1.752,0.48,CYP2D6,"sim2D,sim3D",0.736842105263158,1
74,0.811091854419411,1.742,0.17,HERG,"sim2D,sim3D",0.814814814814815,1
75,0.760456273764259,1.738,1.4,5HT2B,"sim2D,sim3D",0.833333333333333,1
76,0.178640776699029,0.443,1.72,5HT2B,"dis2D,dis3D",0.0,0
77,0.184415584415584,0.564,0.71,5HT2B,"dis2D,dis3D",0.035714285714286,0
78,0.192748091603053,0.696,0.54,HERG,"dis2D,dis3D",0.25,0
79,0.206349206349206,0.589,2.93,CYP2D6,"dis2D,dis3D",0.047619047619048,0
80,0.21563981042654,0.837,0.42,HERG,"dis2D,dis3D",0.111111111111111,0
81,0.230142566191446,0.894,1.49,5HT2B,"dis2D,dis3D",0.0,0
82,0.239713774597495,0.76,0.17,5HT2B,"dis2D,dis3D",0.1875,0
83,0.241176470588235,0.862,0.8,5HT2B,"dis2D,dis3D",0.0625,0
84,0.242258652094718,0.934,3.33,5HT2B,"dis2D,dis3D",0.16,0
85,0.25,0.529,1.16,CYP2D6,"dis2D,dis3D",0.0,0
86,0.253578732106339,0.777,1.47,5HT2B,"dis2D,dis3D",0.0,0
87,0.267889908256881,0.78,2.97,5HT2B,"dis2D,dis3D",0.0,0
88,0.288270377733598,0.674,1.1,CYP2D6,"dis2D,dis3D",0.172413793103448,0
89,0.289667896678967,0.886,1.76,5HT2B,"dis2D,dis3D",0.166666666666667,0
90,0.291666666666667,0.87,2.78,5HT2B,"dis2D,dis3D",0.076923076923077,0
91,0.299270072992701,0.888,0.55,CYP2D6,"dis2D,dis3D",0.230769230769231,0
92,0.302134646962233,0.769,0.94,5HT2B,"dis2D,dis3D",0.055555555555556,0
93,0.304900181488203,0.796,0.36,5HT2B,"dis2D,dis3D",0.0,0
94,0.332740213523132,0.758,0.060000000000001,CYP2D6,"dis2D,dis3D",0.111111111111111,0
95,0.335144927536232,0.75,1.52,HERG,"dis2D,dis3D",0.0,0
96,0.399688958009331,0.741,1.28,HERG,"dis2D,dis3D",0.04,0
97,0.400709219858156,0.625,0.03,5HT2B,"dis2D,dis3D",0.0,0
98,0.405572755417957,0.657,0.47,5HT2B,"dis2D,dis3D",0.166666666666667,0
99,0.413888888888889,0.762,1.9,HERG,"dis2D,dis3D",0.125,0
100,0.54561717352415,0.922,1.34,HERG,"dis2D,dis3D",0.058823529411765,0
